article_key,amendment_reference,amendment_decree_number,amendment_decree_date_hijri,amendment_scope_short,amendment_note_source_status,requires_manual_merge_flag,merge_decision_status,merge_notes
labor_law_art_227,BOE_AMENDMENT_NOTE,,22 / 1 / 1435,article_abolished_by_amendment,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_228,BOE_AMENDMENT_NOTE,,22 / 1 / 1435,article_abolished_by_amendment,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_229,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_230,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_230,BOE_AMENDMENT_NOTE,م/44,,amended_article_flag,BOE_NOTE_PRESENT,yes,NOT_STARTED,
labor_law_art_231,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_232,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_233,BOE_AMENDMENT_NOTE,,12 / 5 / 1434,amendment_note_present,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_233,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_234,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_235,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_236,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_237,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_238,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_239,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_231_renumbered,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,article_renumbered_by_amendment,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_241,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,amended_article_flag,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_232_renumbered,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,article_renumbered_by_amendment,BOE_CHANGED_CLASS,yes,NOT_STARTED,
labor_law_art_232_renumbered,BOE_AMENDMENT_NOTE,,5 / 6 / 1436,article_added_by_amendment,BOE_CHANGED_CLASS,yes,NOT_STARTED,
